stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:DUA8711655,"NANTEUIL SAACY",,48.97389088,3.2197342,,,1,
StopArea:DUA8711656,"NOGENT L'ARTAUD CHARLY",,48.96692986,3.29875954,,,1,
StopArea:DUA8711657,"CHEZY SUR MARNE",,48.99036289,3.36160612,,,1,
StopArea:DUA8711658,"CHATEAU THIERRY",,49.03795301,3.40957548,,,1,
StopArea:DUA8738657,"POISSY",,48.93310486,2.04069887,,,1,
StopArea:DUA8738664,"VILLENNES SUR SEINE",,48.93948628,1.99947938,,,1,
StopArea:DUA8738665,"VERNOUILLET VERNEUIL",,48.98097535,1.98197721,,,1,
StopArea:DUA8738666,"LES CLAIRIERES DE VERNEUIL",,48.99231124,1.95531689,,,1,
StopArea:DUA8738673,"AUBERGENVILLE ELISABETHVILLE",,48.97206623,1.84835153,,,1,
StopArea:DUA8738676,"EPONE MEZIERES",,48.96288181,1.80871613,,,1,
StopArea:DUA8711667,"LA FERTE MILON",,49.17950493,3.12058849,,,1,
StopArea:DUA8711666,"MAREUIL SUR OURCQ",,49.13547358,3.07560277,,,1,
StopArea:DUA8711664,"CROUY SUR OURCQ",,49.09190761,3.06289298,,,1,
StopArea:DUA8711663,"LIZY SUR OURCQ",,49.02191394,3.03173506,,,1,
StopArea:DUA8711661,"ISLES ARMENTIERES CONGIS",,48.99827241,3.00731124,,,1,
StopArea:DUA8768400,"MONTARGIS",,48.0070362,2.74302832,,,1,
StopArea:DUA8768424,"FERRIERES FONTENAY",,48.10086162,2.7737027,,,1,
StopArea:DUA8768423,"DORDIVES",,48.14722158,2.76271674,,,1,
StopArea:DUA8768421,"SOUPPES CHATEAU LANDON",,48.18169478,2.73552486,,,1,
StopArea:DUA8768419,"BAGNEAUX SUR LOING",,48.23016034,2.70343631,,,1,
StopArea:DUA8768412,"NEMOURS SAINT-PIERRE",,48.2678032,2.68554123,,,1,
StopArea:DUA8768411,"BOURRON MARLOTTE GREZ",,48.33384525,2.6939912,,,1,
StopArea:DUA8768410,"MONTIGNY SUR LOING",,48.33648404,2.73798806,,,1,
StopArea:DUA8727658,"ERMONT HALTE",,48.99064752,2.26316384,,,1,
StopArea:DUA8727659,"GROS NOYER SAINT-PRIX",,48.99609508,2.25963683,,,1,
StopArea:DUA8727660,"SAINT-LEU LA FORET",,49.01557006,2.2422045,,,1,
StopArea:DUA8727662,"VAUCELLES",,49.02176997,2.22935771,,,1,
StopArea:DUA8727663,"TAVERNY",,49.02535239,2.22178541,,,1,
StopArea:DUA8727664,"BESSANCOURT",,49.03595367,2.21120976,,,1,
StopArea:DUA8727665,"FREPILLON",,49.04676799,2.20016919,,,1,
StopArea:DUA8727666,"MERY sur OISE",,49.05748448,2.19059421,,,1,
StopArea:DUA8727667,"MERIEL",,49.07737726,2.20505636,,,1,
StopArea:DUA8727653,"VALMONDOIS",,49.09106916,2.20180437,,,1,
StopArea:DUA8727652,"L'ISLE ADAM PARMAIN",,49.11477965,2.21000054,,,1,
StopArea:DUA8727651,"CHAMPAGNE SUR OISE",,49.13666232,2.24440921,,,1,
StopArea:DUA8727646,"PERSAN BEAUMONT",,49.14804367,2.28019443,,,1,
StopArea:DUA8727606,"CERNAY",,48.98502839,2.25720033,,,1,
StopArea:DUA8727607,"FRANCONVILLE LE PLESSIS BOUCHARD",,48.99349871,2.23472577,,,1,
StopArea:DUA8727608,"MONTIGNY BEAUCHAMP",,49.0075989,2.19784564,,,1,
StopArea:DUA8727101,"SAINT-DENIS",,48.93512052,2.3456808,,,1,
StopArea:DUA8727609,"PIERRELAYE",,49.01932683,2.15372215,,,1,
StopArea:DUA8733798,"SAINT-OUEN L'AUMONE LIESSE",,49.03381937,2.12744649,,,1,
StopArea:DUA8727610,"SAINT-OUEN L'AUMONE",,49.04539255,2.1058133,,,1,
StopArea:DUA8727613,"PONTOISE",,49.04667082,2.09461298,,,1,
StopArea:DUA8739153,"VANVES MALAKOFF",,48.81859256,2.29205637,,,1,
StopArea:DUA8739156,"CLAMART",,48.81399906,2.27271663,,,1,
StopArea:DUA8739310,"MEUDON",,48.81480352,2.24107892,,,1,
StopArea:DUA8739311,"BELLEVUE",,48.81897531,2.2295573,,,1,
StopArea:DUA8739312,"SEVRES RIVE GAUCHE",,48.82110316,2.2157951,,,1,
StopArea:DUA8739320,"CHAVILLE RIVE GAUCHE",,48.8046685,2.18832196,,,1,
StopArea:DUA8739321,"VIROFLAY RIVE GAUCHE",,48.80081083,2.17131349,,,1,
StopArea:DUA8741588,"ROSNY SUR SEINE",,48.99714479,1.63016901,,,1,
StopArea:DUA8741589,"BONNIERES",,49.03797251,1.57950491,,,1,
StopArea:DUA8741560,"VERNON",,49.09059206,1.47916082,,,1,
StopArea:DUA8754513,"ETAMPES",,48.43660331,2.15937356,,,1,
StopArea:DUA8754514,"ETRECHY",,48.49365351,2.19405331,,,1,
StopArea:DUA8754515,"CHAMARANDE",,48.51424338,2.21550237,,,1,
StopArea:DUA8754516,"LARDY",,48.52054009,2.25548671,,,1,
StopArea:DUA8754517,"BOURAY",,48.53330841,2.29080487,,,1,
StopArea:DUA8754518,"MAROLLES EN HUREPOIX",,48.56536223,2.29059343,,,1,
StopArea:DUA8754519,"BRETIGNY",,48.6070423,2.30264447,,,1,
StopArea:DUA8754520,"SAINT-MICHEL SUR ORGE",,48.63582563,2.30671681,,,1,
StopArea:DUA8754521,"SAINTE-GENEVIEVE DES BOIS",,48.65332659,2.31383396,,,1,
